FILTRO 01: Disponibilidade de acesso completo ao artigo em formato PDF                                ,,
QUATIDADE TOTAL DE ARTIGOS: 57,,
QUANTIDADE DE REMOVIDOS: 22,,
"Anotação: Todos estavam em inglês, mas teve uns que estavam sem PDF, com PDF pago ou eram livros. Os que tem * é para ver o Qualis da revista depois.",,
,,
TÍTULO,REMOVIDO,
"Telementoring for surgical training in low-resource settings: a systematic review of current systems and the emerging role of 5G, AI, and XR",Não,*
A FUTURE TREND ON 5G NETWORK SUB-SLICING TECHNIQUES FOR MACHINE LEARNING ALGORITHMS,Sem PDF,
Latency-Aware Network Slicing for 5G URLLC Applications: Design and Optimization Strategies,Não,
Security and regulatory insights for 5G Network Slicing-enabled eHealth applications,Não,
"Power-Aware Video Transmission in 5G Telemedicine: Challenges, Solutions, and Future Directions",Sem PDF,
Federated Learning and Network Slicing-Based Resource Optimization for Secure Healthcare Communications,Sem PDF,
Towards a European Health Data Slice,Não,
A Self-Manageable Network Infrastructure Towards Supporting Healthcare Transport Communication,Não,
5G cityscape: Unleashing seamless connectivity for smart urban evolution,Sem PDF,
AI-Driven Data Analytics and Intent-Based Networking for Orchestration and Control of B5G Consumer Electronics Services,Não,
An Integrated Model for Smart Healthcare Solutions With 5G Network Slicing,Sem PDF,
A New Technology for Higher end Communication Using Quick and Optimised Computational N/W Implementation for Clinical Field,Não,
Innovative Communication Protocols and Network Architectures in 5G Technologies,Não,
An intelligent technique for network resource management and analysis of 5G-IoT smart healthcare application,Sem PDF,
A Developed Multi-Level Deep Learning Model for Network Slicing Classification in 5G Network,Não,*
Handover Management in a Sliced 5G Network Using Deep Reinforcement Learning,Não,
"6G-Enabled Technologies for Next Generation: Fundamentals, Applications, Analysis and Challenges",É um Livro,
Edge Computing and Network Softwarization for the Internet of Healthcare Things,Sem PDF,
FRADIS: A Machine Learning-based Multipath Solution for Differentiated Services in a Network Slicing-enhanced Delivery Environment,Não,
Utility-Based Multipath Delivery of Prioritized XR Content in a Machine Learning and Network Slicing-enhanced Environment,Não,
AI-Based Network Traffic Prioritization for Latency-Sensitive Applications in 6G Networks,Não,
Multi-party anonymous authentication scheme in heterogeneous network slicing,PDF Pago,
5G in healthcare: Matching game-empowered intelligent medical network slicing,Não,*
Toward Resilient Network Slicing for Satellite-Terrestrial Edge Computing IoT,Não,
"An Evaluation of e-Health Service Performance through the Integration of 5G IoT, Fog, and Cloud Computing",Não,*
Network Slicing Modeling and Simulation on 5G Networks Using Virne,Não,
Harnessing 5G Networks for Health Care: Challenges and Potential Applications,Não,
Deep Learning-based Network Slice Recognition,Não,
Large-scale trialing of the B5G technology for eHealth and Emergency domains,Não,
Advantages of 5G Slicing Technology in the Internet of Things,Não,
Blockchain for Mobile Networks,Sem PDF,
Emergency Telemedicine Mobile Ultrasounds Using a 5G-Enabled Application: Development and Usability Study,Não,*
Deployment Options of 5G Network Slicing for Smart Healthcare,Não,
Network Slicing Mobility Aware Control to Assist Handover Decisions on e-Health 5G Use Cases,Não,
DeepCare: Deep Learning-Based Smart Healthcare Framework using 5G Assisted Network Slicing,Não,
5G-based smart healthcare system designing and field trial in hospitals,Não,*
Multi-service Single Tenant 5G Fronthaul Resource Orchestration Framework based on Network Slicing,Não,
A security scheme for network slicing selection based on Pohlig-Hellman algorithm in smart grid,Não,
Perspectives on 5G and Beyond Applications and Related Technologies,Sem PDF,
End-to-End Network Service Orchestration in Heterogeneous Domains for Next-Generation Mobile Networks,Não,
Blockchain-Based Location Sharing in 5G Open RAN Infrastructure for Sustainable Communities,Sem PDF,
DRIVE-B5G: A Flexible and Scalable Platform Testbed for B5G-V2X Networks,Não,
Distributed Network Slicing Management Using Blockchains in E-Health Environments,PDF Pago,*
Quality of perception prediction in 5G slices for e-Health services using user-perceived QoS,PDF Pago,
From UML Modeling to UPPAAL Model checking of 5G Dynamic Service Orchestration,Sem PDF,
Flexible and anonymous network slicing selection for C-RAN enabled 5G service authentication,PDF Pago,
Securing E-Health networks by applying network slicing and blockchain techniques,Não,
A Field Test of 5G Enhanced Mobile Ultrasound with Network Slicing,Não,
Dynamic 5G Network Slicing for Telemedicine Systems,Não,
5G Network Slicing Technology and Its Impact on COVID-19: A Comprehensive Survey,Sem PDF,
Optimum e-Health care Resource Provisioning using Network Slicing Approach for Future 5G Networks,"""Algumas assinaturas
são inválidas no
PDF.""",
Advanced 5G Network Slicing Isolation Using Enhanced VPN+ for Healthcare Verticals,Sem PDF,
Feasibility Analysis of Fifth-generation (5G) Mobile Networks for Transmission of Medical Imaging Data,Não,
Enabling time-critical communications in medical IoT applications,Sem PDF,
A 5G-Based eHealth Monitoring and Emergency Response System: Experience and Lessons Learned,Não,
An eHealth-Care Driven Perspective on 5G Networks and Infrastructure,Sem PDF,
"2021 4th International Conference on Signal Processing and Information Security, ICSPIS 2021",Sem PDF,
