"FILTRO 04: Extração de características da solução, IA e otimização                          ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QUATIDADE TOTAL DE ARTIGOS: 29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QUANTIDADE DE REMOVIDOS: 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Anotação: “Contexto geral de e-Health” é utilizado quando o artigo não especifica um cenário de aplicação, indicando que o foco está na infraestrutura de rede e na validação com dados de saúde para suporte a aplicações médicas em geral.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Tipo de Arquitetura,,,                                                Abordagem Computacional,,,                               Dinamicidade do Cenário,,Tipo de Classe,,,,,Tipo de Rede,,,              Algoritmo Implementado,,,Inteligência Artificial (IA),,                           NP-Difícil,,,,Abordagem de Otimização,,,,       Artefato de código e dados,,,
Title,Centralizado,Descentralizado,Distribuído ,Hierárquico ,Multidomínio,Paradigma Computacional,Técnica Computacional,Cenário de Aplicação,Estático,Não Estático,mMTC,URLLC,eMBB,LTE,4G,5G,6G,Wifi,Nome do Algoritmo,Usa Mapeamento,Usa IA,Tipo de IA,Técnica de IA,Usa NP-Difícil,Nome do Problema,Usa Otimização,Abordagem,Família de Otimização,Subtipo de Metaheurística,Algoritmo Específico,Possui Link,Tipo do Artefato,Plataforma,URL,
Latency-Aware Network Slicing for 5G URLLC Applications: Design and Optimization Strategies,X,,,,,Sistemas Baseados em Agentes,Reinforcement Learning,Cirurgia remota; Telemedicina,,X,X,X,X,,,X,,,Deep Q-Network (DQN),Não,Sim,Reinforcement Learning; Deep Learning,DQN,Não,None,Não,None,None,None,None,Não,None,None,None,
Towards a European Health Data Slice,,,X,,,Computação em Névoa,Criptografia,Monitoramento de pacientes; Compartilhamento de dados de saúde,,X,X,X,X,,,X,,,SPHINCS+; CRYSTALS-Kyber; CRYSTALS-Dilithium,Não,Não,None,None,Não,None,Não,None,None,None,None,Não,None,None,None,
A Self-Manageable Network Infrastructure Towards Supporting Healthcare Transport Communication,X,,X,X,,Computação Orientada a Serviços,Reinforcement Learning,Ambulância conectada,,X,X,X,X,,,X,X,,Q-Learning,Sim,Sim,Reinforcement Learning,Q-Learning,Não,None,Não,None,None,None,None,Não,Contatar os autores,Contatar os autores,Contatar os autores,
AI-Driven Data Analytics and Intent-Based Networking for Orchestration and Control of B5G Consumer Electronics Services,X,,,,X,Computação Orientada a Serviços,Machine Learning,Contexto geral de e-Health,,X,X,X,X,,,X,X,,Stacking Ensemble Learning (STEL); AutoML,Não,Sim,Supervised Learning; Machine Learning,STEL; XGBoost; GBM; Catboost; Random Forest; AutoML,Não,None,Não,None,None,None,None,Sim,Dataset,Website; GitHub,http://gwa.ewi.tudelft.nl/datasets/gwa-t-13-materna/; https://github.com/google/cluster-data,Menciona o uso de Algoritmos Genéticos (GA) para otimizar parâmetros de SVM (trabalhos relacionados).
A New Technology for Higher end Communication Using Quick and Optimised Computational N/W Implementation for Clinical Field,X,,,,,Computação Orientada a Serviços,Otimização Heurística,Cirurgia remota; Telemedicina,,X,X,X,X,,,X,X,,Não Especificado,Sim,Sim,Computational Intelligence,None,Não,None,Sim,Heurística,Greedy,None,Not Specified,Não,None,None,None,
A Developed Multi-Level Deep Learning Model for Network Slicing Classification in 5G Network,X,,,,,Computação em Nuvem,Deep Learning; Machine Learning,Contexto geral de e-Health,,X,,,,,,X,,,Deep Neural Network (DNN); Random Forest (RF); Decision Tree (DT); Enhanced TabNet,Não,Sim,Deep Learning; Machine Learning,DNN; Random Forest; Decision Tree; TabNet,Não,None,Não,None,None,None,None,Não,None,None,None,
Handover Management in a Sliced 5G Network Using Deep Reinforcement Learning,X,,,,,Computação Orientada a Serviços,Reinforcement Learning,Contexto geral de e-Health,,X,X,X,X,,X,X,,,Proximal Policy Optimization (PPO),Não,Sim,Reinforcement Learning; Deep Learning,PPO,Não,None,Não,None,None,None,None,Não,None,None,None,
FRADIS: A Machine Learning-based Multipath Solution for Differentiated Services in a Network Slicing-enhanced Delivery Environment,,,,X,X,Computação em Borda,Reinforcement Learning; Teoria Fuzzy,Monitoramento de pacientes; Resposta a emergências,,X,X,X,X,,,X,X,,5G Slice Stream (5GSS); uMPTCP; Innovative Performance-aware DRL (IP-DRL),Sim,Sim,Reinforcement Learning; Deep Learning; Computational Intelligence,IP-DRL; D3QN; CNN; Fuzzy Logic,Não,None,Sim,Heurística,Local Search,None,5G Slice Stream (5GSS),Não,None,None,None,
Utility-Based Multipath Delivery of Prioritized XR Content in a Machine Learning and Network Slicing-enhanced Environment,,,X,X,,Computação em Borda,Modelagem Matemática,Aplicações interativas de XR na saúde,,X,X,X,X,,,X,X,,uMPTCP Algorithm,Não,Sim,Machine Learning,Linear Regression,Não,None,Não,None,None,None,None,Não,None,None,None,
