Title,Centralizado,Descentralizado,Distribuído ,Hierárquico ,Multidomínio,Paradigma Computacional,Técnica Computacional,Cenário de Aplicação,Estático,Não Estático,mMTC,URLLC,eMBB,LTE,4G,5G,6G,Wifi,Nome do Algoritmo,Usa Mapeamento,Usa IA,Tipo de IA,Técnica de IA,Usa NP-Difícil,Nome do Problema,Usa Otimização,Abordagem,Família de Otimização,Subtipo de Metaheurística,Algoritmo Específico,Possui Link,Tipo do Artefato,Plataforma,URL,
Latency-aware network slicing for 5g urllc applications: design and optimization strategies,1,0,0,0,0,Sistemas baseados em agentes,Reinforcement learning,Cirurgia remota;Telemedicina,0,1,1,1,1,0,0,1,0,0,Deep q-network (dqn),Não,Sim,Reinforcement learning;Deep learning,Dqn,Não,None,Não,None,None,None,None,Não,None,None,None,0
Towards a european health data slice,0,0,1,0,0,Computação em névoa,Criptografia,Monitoramento de pacientes;Compartilhamento de dados de saúde,0,1,1,1,1,0,0,1,0,0,Sphincs+;Crystals-kyber;Crystals-dilithium,Não,Não,None,None,Não,None,Não,None,None,None,None,Não,None,None,None,0
A self-manageable network infrastructure towards supporting healthcare transport communication,1,0,1,1,0,Computação orientada a serviços,Reinforcement learning,Ambulância conectada,0,1,1,1,1,0,0,1,1,0,Q-learning,Sim,Sim,Reinforcement learning,Q-learning,Não,None,Não,None,None,None,None,Não,Contatar os autores,Contatar os autores,Contatar os autores,0
Ai-driven data analytics and intent-based networking for orchestration and control of b5g consumer electronics services,1,0,0,0,1,Computação orientada a serviços,Machine learning,Contexto geral de e-health,0,1,1,1,1,0,0,1,1,0,Stacking ensemble learning (stel);Automl,Não,Sim,Supervised learning;Machine learning,Stel;Xgboost;Gbm;Catboost;Random forest;Automl,Não,None,Não,None,None,None,None,Sim,Dataset,Website;Github,Http://gwa.ewi.tudelft.nl/datasets/gwa-t-13-materna/;Https://github.com/google/cluster-data,Menciona o uso de algoritmos genéticos (ga) para otimizar parâmetros de svm (trabalhos relacionados).
A new technology for higher end communication using quick and optimised computational n/w implementation for clinical field,1,0,0,0,0,Computação orientada a serviços,Otimização heurística,Cirurgia remota;Telemedicina,0,1,1,1,1,0,0,1,1,0,Não especificado,Sim,Sim,Computational intelligence,None,Não,None,Sim,Heurística,Greedy,None,Not specified,Não,None,None,None,0
A developed multi-level deep learning model for network slicing classification in 5g network,1,0,0,0,0,Computação em nuvem,Deep learning;Machine learning,Contexto geral de e-health,0,1,0,0,0,0,0,1,0,0,Deep neural network (dnn);Random forest (rf);Decision tree (dt);Enhanced tabnet,Não,Sim,Deep learning;Machine learning,Dnn;Random forest;Decision tree;Tabnet,Não,None,Não,None,None,None,None,Não,None,None,None,0
Handover management in a sliced 5g network using deep reinforcement learning,1,0,0,0,0,Computação orientada a serviços,Reinforcement learning,Contexto geral de e-health,0,1,1,1,1,0,1,1,0,0,Proximal policy optimization (ppo),Não,Sim,Reinforcement learning;Deep learning,Ppo,Não,None,Não,None,None,None,None,Não,None,None,None,0
Fradis: a machine learning-based multipath solution for differentiated services in a network slicing-enhanced delivery environment,0,0,0,1,1,Computação em borda,Reinforcement learning;Teoria fuzzy,Monitoramento de pacientes;Resposta a emergências,0,1,1,1,1,0,0,1,1,0,5g slice stream (5gss);Umptcp;Innovative performance-aware drl (ip-drl),Sim,Sim,Reinforcement learning;Deep learning;Computational intelligence,Ip-drl;D3qn;Cnn;Fuzzy logic,Não,None,Sim,Heurística,Local search,None,5g slice stream (5gss),Não,None,None,None,0
Utility-based multipath delivery of prioritized xr content in a machine learning and network slicing-enhanced environment,0,0,1,1,0,Computação em borda,Modelagem matemática,Aplicações interativas de xr na saúde,0,1,1,1,1,0,0,1,1,0,Umptcp algorithm,Não,Sim,Machine learning,Linear regression,Não,None,Não,None,None,None,None,Não,None,None,None,0
Ai-based network traffic prioritization for latency-sensitive applications in 6g networks,1,0,0,0,0,Computação orientada a dados,Deep learning,Cirurgia remota;Telemedicina,0,1,1,1,1,0,0,1,1,0,Não especificado,Sim,Sim,Deep learning,Cnn;Rnn,Não,None,Não,None,None,None,None,Não,None,None,None,0
